                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.6284,                 1.3788,                 1.9253,                0.74992,                0.65096,                0.77337,                0.47881,                 1.5273,                 1.4278,                 2.0973,               0.007591,               0.007591,               0.007591
                     75,                 1.6263,                 1.3598,                 1.8782,                0.77694,                0.63217,                0.75401,                0.47125,                 1.5668,                 1.4791,                 2.1497,               0.007558,               0.007558,               0.007558
                     76,                 1.7001,                 1.4943,                  2.029,                0.70457,                0.61922,                0.72845,                0.43041,                 1.5733,                 1.5334,                  2.129,               0.007525,               0.007525,               0.007525
                     77,                 1.7087,                 1.4882,                 2.0213,                0.70921,                0.64057,                0.72703,                 0.4405,                  1.583,                 1.5881,                 2.1571,               0.007492,               0.007492,               0.007492
                     78,                 1.6656,                 1.5419,                  1.981,                0.83459,                0.59431,                0.73763,                0.47314,                 1.5321,                 1.5463,                 2.1283,               0.007459,               0.007459,               0.007459
                     79,                 1.7252,                 1.5662,                 2.0974,                0.78133,                0.59431,                0.71659,                0.43546,                 1.6251,                 1.5643,                 2.2046,               0.007426,               0.007426,               0.007426
                     80,                 1.6049,                 1.4302,                  1.932,                0.75884,                0.59075,                0.73873,                0.45249,                 1.5439,                 1.4735,                 2.1383,               0.007393,               0.007393,               0.007393
                     81,                 1.6249,                 1.3857,                 1.9281,                0.77626,                0.67907,                0.77534,                0.44886,                 1.5796,                 1.4421,                 2.0926,                0.00736,                0.00736,                0.00736
                     82,                 1.5306,                 1.3125,                 1.8769,                0.72796,                0.68327,                0.77158,                0.48161,                 1.4776,                 1.3925,                 2.0252,               0.007327,               0.007327,               0.007327
                     83,                 1.5504,                 1.2645,                 1.8124,                0.60851,                0.66548,                0.69829,                0.45374,                 1.4849,                 1.4884,                 2.0332,               0.007294,               0.007294,               0.007294
                     84,                 1.5739,                 1.3463,                  1.855,                0.78606,                0.67994,                0.78091,                0.47916,                 1.4603,                 1.3989,                 2.0072,               0.007261,               0.007261,               0.007261
                     85,                 1.5551,                 1.2742,                  1.853,                0.71554,                0.67972,                0.74984,                0.44209,                 1.5108,                  1.521,                 2.0732,               0.007228,               0.007228,               0.007228
                     86,                 1.5575,                 1.4458,                 1.9582,                0.79727,                0.72598,                0.81646,                0.51484,                 1.3508,                 1.4143,                 1.8992,               0.007195,               0.007195,               0.007195
                     87,                  1.634,                 1.4822,                   1.97,                0.78173,                 0.5694,                0.72833,                0.43685,                 1.5018,                 1.4921,                 2.0518,               0.007162,               0.007162,               0.007162
                     88,                 1.5028,                  1.362,                 1.8936,                0.74317,                0.69395,                0.78591,                0.48323,                 1.4586,                 1.6151,                 2.0324,               0.007129,               0.007129,               0.007129
